manufacturer_id,manufacturer_name,manufacturer_recall_count
341,"GE Medical Systems Co, Ltd || GE Medical Systems Gmbh || Wipro GE Healthcare Pvt. Ltd || GE Medical Systems Technologies Co Ltd",1.0
342,"GE Medical Systems Gmbh || GE Hualun Medical Systems Co., Ltd || GE Oec Medical Systems Inc",1.0
343,GE Medical Systems Israel - Functional Imaging || GE Medical Systems SCS,1.0
344,"Ge Medical Systems Israel - Functional Imaging || Ge Medical Systems, Llc. || Ge Healthcare Japan Corporation || Ge Hang Wei Medical Systems Co Ltd. || Ge  Healthcare  Do  Brasil  Comércio  E  Servicos  Para || Equipamentos Medico-Hospitalares Ltda",1.0
345,"Ge Medical Systems Monterrey, México S.A. De C.V. || Ge Medical Systems Ultrasound & Primary Care Diagnostics Llc || B.M. Tech Worldwide Co., Ltd.",1.0
346,GE Medical Systems Technologies Co Ltd || GE Healthcare Finland OY,1.0
347,GE Medical Systems Technologies Co Ltd || GE Healthcare Finland Oy,2.0
348,"GE Medical Systems Technologies Co Ltd || GE Medical Systems China Co, Ltd. || GE Vingmed Ultrasound A/S || GE Medical Systems Israel - Functional Imaging || GE Ultrasound Israel || GE Ultrasound Korea Co, Ltd. || GE Healthcare Japan Corporation || GE Healthcare Austria Gmbh & Co Og || Wripo GE Healthcare Pvt Ltd",1.0
349,"GE Medical Systems, Llc. || GE Hangwei Medical Systems Co. Ltd || GE Medical Systems Information Technologies Gmbh || GE Medical Systems, Llc (Dba GE Healthcare), || Xinaomdt Technology Co, Ltd || GE Medical Systems Scs || General Medical Merate Spa || GE Healthcare || GE  Healthcare  Do  Brasil  Comércio  E  Servicos  Para || Equipamentos Medico-Hospitalares Ltda. || GE Medical Systems Technologies Co Ltd",1.0
350,"GE Medical Systems, Llc. || GE Healthcare Japan Corporation || GE Hangwei Medical Systems Co Ltd.",1.0
351,"Ge Medical Systems, Llc. || Ge Healthcare Japan Corporation || Ge Hangwei Medical Systems Co Ltd.",1.0
352,"GE Medical Systems, Llc. || GE Healthcare Japan Corporation || GE Medical Systems Llc || GE Healthcare (Tianjin) Company Limited",1.0
353,"GE Medical Systems, Llc. || GE Medical Systems Information Technologies Gmbh || GE Medical Systems, Llc (Dba Ge Healthcare) || Xinaomdt Technology Co, Ltd || GE Medical Systems Scs || General Medical Merate Spa || GE Healthcare || GE Healthcare Do Brasil Comércio E Servicos Para || Equipamentos Medico-Hospitalares Ltda || GE Medical Systems Technologies Co Ltd || .",2.0
354,Ge Oec Medical Systems Inc || Ge  Healthcare  Do  Brasil  Comércio  E  Servicos  Para  Equipamentos || Medico-Hospitalares Ltda || Ge Oec Medical Systems Gmbh,1.0
